ID	Positive_score	Negative_score	Content
1	0	1	It’s okay to start over, or make mistakes...just keep going.  #Infinity
2	7	0	@Mehreenpirzada Really 😊   As per article 17 of Indian Constitution "Untouchability" is Proscribed😂😂  But We are aw… https://t.co/t56dBvP5oi
3	1	0	Hotsprings work wheels event. Fuga #nissanfuga #fuga #nissanskyline #nissan #skyline #infinity… https://t.co/HHJYmF5GGJ
4	0	0	[LIVE UPDATES] @hacktickmusic is performing at Campus Festival 2018 @mmumalaysia now! #infinity #campusfestival18 https://t.co/eYCATe0cET
5	0	0	[LIVE UPDATES] Security checks! #campusfestival2018 #infinity https://t.co/bycikLhvOL
6	0	0	Wake up and get going, don’t stop. #Infinity
7	2	0	Join 9 people right now at "Infinity War Directors Showcase Why Fans Should See It in IMAX" #cheers #movies #film… https://t.co/2nkJqInUFj
8	3	0	#MUNEE 💖#INFINITY #Fabiola_71117_TEAM #TT4F Good Morning!💕😎 @fulla_studio @vilaandrealili1 @gamer_fulla… https://t.co/AOdDOZlauS
9	5	0	#HappyWednesday👍#friends💞#TwitterWorld 🌍   I wish you a #HappyDay😀💕💝🎉  👍Love💙Live🌸&amp; Be Happy😎  ☮️CARPE DIEM💖  #TT4F… https://t.co/BhkzmovZwK
10	0	0	@M_MartinezRed @V2_N_St0 @gamer_fulla @vilaandrealili1 @fulla_studio @ScarfaceSeb @swydersk @ginestarros… https://t.co/1wrfZ7fkbR
11	0	0	@V2_N_St0 @gamer_fulla @vilaandrealili1 @fulla_studio @ScarfaceSeb @M_MartinezRed @swydersk @ginestarros… https://t.co/OM1cXZJo9z
12	0	0	@V2_N_St0 @gamer_fulla @vilaandrealili1 @fulla_studio @ScarfaceSeb @swydersk @ginestarros @Mr_Gif_Pic @DanDolphin1… https://t.co/deLaoCDZz1
13	1	0	New release contest - WIN GRIMDARK SIGNS:  https://t.co/lwrrQ6kxfW      #MECHANICUM #warhammer #mechanicum… https://t.co/SUcUdipMSg
14	3	0	Awake and full of Happiness and Love. 4.18 😍 #BeautyAndTheBeast #honeybunzAndHoneyPot #Infinity
15	0	0	A visualised life quote from my nan.  #LifeQuote #MotionDesign #AfterEffects #TypographicDesign #LifeQuotes… https://t.co/UvpgMzLCWs
16	0	0	Ok ok just refrain from commercials, social media, and....people...for a day #infinity https://t.co/ucP6YEsEkM
17	0	0	shuffle the kismet：https://t.co/OIDCknqfy0 #涼宮ハルヒの憂鬱 #長門有希 #アニメ #ラノベ #和姦 #INFINITY DRIVE https://t.co/uYvOT2xb4k
18	1	0	Infinite Love Bracelet https://t.co/xYpM9bJLAE #Giftforher #SheilasCharms #jewelry #Bridesmaidgifts #Infinity https://t.co/CPeHdgrnYY
19	1	1	Join 5 people right now at "Superhero Bits: Tom Holland Gets Pranked, Infinity War May Break Star Wars Records &amp; Mo… https://t.co/qIV4WYu8wh
20	0	0	Big meeting today in Germany with @GowardBen ...he is getting his rest in early. @_infinity_co #infinity #bensleeps… https://t.co/GG0uMNRZHY
21	0	1	#Repost @paolabaraleofficial with @get_repost ・・・ #infinity 💫🦄@storagemilano @michelepasini @barbaraghidoni… https://t.co/0xGxOuiFbk
22	2	0	The #INFINITY #WALLART #CLOCK WITH A #FLORAL #DESIGN #STAINLESS #STEEL WITH #CLEAR #DIAMANTE #CRYSTAL #BigLivingUK… https://t.co/AiNz66a3FC
23	1	1	Hey guys!! Are you ready to #jump with me??? #parachute #air #sky #infinity #crazy #adventurer #risklover… https://t.co/VlA95OGLhJ
24	1	0	"With ONLY ONE you become a god. Do you know what it is like to be a god?"  "Not yet."  "Not YET, but I know NOW...… https://t.co/WSB1M3QGAP
25	1	4	#MAGA moment #infinity ∞ for #Criminal #Lying #POTUS #Trump again showing his IGNORANCE &amp; COMPLETE IDIOCY w his Lac… https://t.co/yYeJzs9tIK
26	0	0	Cuz got me out these bushes doin the #infinity thang late night!?! https://t.co/RxdzsRm8MS
27	2	0	Anklets in store ! Available in stainless steel silver 🎁  . . . #anklet #anklets #silver #stainlesssteeljewelry… https://t.co/wYmf7lMoHR
28	1	0	infinity bracelet https://t.co/J0dDnBmiLc #gift #love #infinity #forever #bracelet #gift https://t.co/IrUcgYOVqG
29	0	0	Beginner photographer's guide to focus and infinity #aperture #depthoffield #DOF #focallength #focus… https://t.co/B6bi9x9jhq
30	2	0	Wow cool watch they have here! Why not come over to MEM watch to discover unique anti clockwise Arabic Numericals w… https://t.co/O7DfekF8px
31	1	0	Infinity Digitally Altered work "Birdy" Created 5 October 2017 https://t.co/QZ9SeeW3rQ #abstract #art #painting… https://t.co/hZd6OUdVOC
32	2	1	Weirdos * * * #thebroad #museum #fun #dayoff #dtla #friends #happy #silly #infinity #yayoikusama… https://t.co/SPOPfdU4tb
33	1	0	When Ashifa met Jyoti(Nirbhya) in heaven. Asifa asked to bhagawan : why you make such people? And Nirbhaya asked Al… https://t.co/6Bq6pn4F4K
34	-1	0	I am not exactly excited about going to see the #Infinity movie.  I have a feeling that by having so many char... https://t.co/RCE8fuxqs1
35	19	0	💖💖💖💖 #INFINITY 💖💖💖💖💖 #MUNEE 💖💖💖💖💖💖💖 #JUST_US 🎀🎀🎀🎀➿➿➿➿➿➿➿➿➿  💖💎Sweet dreams my air💎💖 💎💎💎💎💎💎💎💎💎 ➿➿➿➿➿➿➿➿➿ 🎀🎀🎀🎀 💑💑💑💑💑… https://t.co/wRDhkaxDRI
36	34	0	#Just_us 💖💖 #MUNEE #INFINITY ❤╱┳╱╭╮┓┓┳┓╲❤ ❤╱┃╱┃┃┃┃┣╱╲❤ ❤╱┻┛╰╯╰╯┻┛╲❤ ❤️❤️❤️❤️❤️❤️❤️  Sweet dreams 💖💖 my love💖 💖 https://t.co/V8fPhSymsq
37	4	0	#SweetDreams😴💤#TwitterWorld 🌍  #HappyWednesday dear #friends💞  👍Love💙Live🌸&amp; Be Happy😎  ☮️CARPE DIEM💖  #TT4F #MUNEE… https://t.co/YNLcTXf0UZ
38	1	0	thanks @gofooji for the #Avengers #Infinity swag!!! https://t.co/xSRmFXx8MN
